Count,Pattern,Songs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,D 4C 4B 3A 3A 3,[BB1. Col. 18.txt, IP. Col.106.txt, BB. Hore. 89.txt, IP. Col.165.txt, mio_225.txt, CB. Col. 519.txt, Bog. Col. 146.txt, Bog. Col. 163.txt, mio_226.txt, CB. Col. 862.txt, mio_24.txt, IP. Col. 12.txt, mio_368.txt, BB. Col. 207.txt, mio_422.txt, CB. Col. 819.txt, mio_274.txt, del 112.txt, mio_82.txt, mio_4.txt, Bog. Col. 168.txt, mio_262.txt, BB. Col. 19.txt, mio_17.txt, CB. Col. 807.txt, mio_216.txt, Bog. Col. 271.txt, mio_233.txt, Drg. Col. 193.txt, mio_319.txt, Bog. Col. 272.txt, Drg. Doină. Nr. 29.txt, Bog. Col. 654.txt, Drg. Col. 299.txt, mio_212.txt, mio_19.txt, mio_282.txt, CBr. Cst. 31.txt, CBr. Col. p. 251.txt, mio_425.txt, GBr. Col. 204.txt, mio_320.txt, NU_262.txt, IP. Col. 146.txt, Bog. Col. 43.txt, mio_381.txt, BB. Col. 29.txt, BB. Col. 26d.txt, mio_13.txt, mio_321.txt]
35,C 4B 3A 3A 3G 3,[mio_319.txt, Bog. Col. 272.txt, CB. Col. 354.txt, mio_41.txt, Bog. Col. 654.txt, Drg. Col. 299.txt, mio_10.txt, mio_225.txt, CB. Col. 519.txt, Bog. Col. 146.txt, mio_226.txt, Bog. Col. 335.txt, BB. Col. 21i.txt, mio_3.txt, mrz 105.txt, GBr. Col. 204.txt, BB. Col. 207.txt, mio_422.txt, NU_262.txt, mio_274.txt, del 112.txt, mio_194.txt, Bog. Col. 168.txt, mrz 115.txt, Drg. Col. 247.txt, CB. Col. 582.txt, BB. Col. 19.txt, mio_381.txt, BB. Col. 29.txt, BB. Col. 26d.txt, mio_47.txt, Bog. Col. 271.txt, Bog. Col. 337.txt, mio_233.txt, IP. Cşez. 153.txt],,,,,,,,,,,,,,,
32,A 3C 4B 3A 3G 3,[Drg. Col. 193.txt, BB. Col. 17.txt, CB. Col. 766.txt, GBr. Col. 188.txt, mrz 40.txt, Bog. Col. 322.txt, BB. Col. 25.txt, BB. Col. 21h.txt, del 74.txt, mio_28.txt, sul 271.txt, CBr. Cst 29..txt, GBr. Col. 119.txt, CBr. Col. p. 175.txt, BB. Col. 21e.txt, CB. Col. 769.txt, BB. Col. 21p.txt, CB. Col. 763.txt, NU_156.txt, GBr. Col. 143.txt, GBr. Col. 155.txt, GBr. Col. 151.txt, CB. Col. 767.txt, GBr. Col. 157.txt, CB. Col. 843.txt, BB. Col. 21o.txt, NU_193.txt, BB. Col. 21g.txt, BB. Col. 7a.txt, BB. Col. 12aa.txt, mio_39.txt, GBr. Col. 73.txt],,,,,,,,,,,,,,,,,,
31,B 3A 3B 3A 3G 3,[CB. Col. 863.txt, mio_54.txt, CB. Col. 731.txt, BB. Col. 21n.txt, TBred. Cpropriu-zis. nr. 58.txt, GBr. Col. 48.txt, Bog. Col. 71.txt, BB. Col. 16b.txt, GBr. Col. 273.txt, maram_186.txt, NU_196.txt, mio_20.txt, Bog. Col. 180.txt, BB. Col. 21r.txt, BB. Col. 16a.txt, BB. Col. 21e.txt, del 109.txt, CB. Col. 857.txt, mio_60.txt, BB. Col. 21k.txt, del 112.txt, Bog. Col. 270.txt, BB. Col. 15.txt, mio_64.txt, Drg. Col. 301.txt, BB. Col. 21l.txt, Drg. Col. 183.txt, SDrg. Boc. 3.txt, BB. Col. 6.txt, CBr. Col. p. 279.txt, mio_267.txt],,,,,,,,,,,,,,,,,,,
31,B 3C 4B 3A 3G 3,[CB. Col. 859.txt, Bog. Col. 659.txt, mio_307.txt, CB. Col. 743.txt, Drg. Col. 223.txt, BB. Col. 8.txt, mrz 75.txt, CB. Col. 765.txt, CB. Col. 583.txt, NU_202.txt, BB. Col. 4.txt, CB. Col. 371.txt, Drg. Col. 144.txt, Bog. Col. 681.txt, BB. Col. 21b.txt, NL_1.txt, CB. Col. 896.txt, CB. Col. 500.txt, CB. Col. 805.txt, BB. Col. 21f.txt, EC. C.rit.fun. 43.txt, DK_121.txt, BB. Col. 21l.txt, Bog. Col. 655.txt, CBr. Col. p. 270.txt, NU_200.txt, CBr. Col. p. 156.txt, Drg. Col. 242.txt, mio_280.txt, CBr. Col. p. 210.txt, BB. Col. 12aa.txt],,,,,,,,,,,,,,,,,,,
25,D 4C 4B 3A 3A 3G 3,[mio_319.txt, Bog. Col. 272.txt, Drg. Doină. Nr. 29.txt, Bog. Col. 654.txt, Drg. Col. 299.txt, mio_225.txt, CB. Col. 519.txt, Bog. Col. 146.txt, mio_226.txt, CBr. Cst. 31.txt, GBr. Col. 204.txt, BB. Col. 207.txt, mio_320.txt, mio_422.txt, NU_262.txt, mio_274.txt, del 112.txt, Bog. Col. 168.txt, Bog. Col. 43.txt, BB. Col. 19.txt, mio_381.txt, BB. Col. 29.txt, BB. Col. 26d.txt, Bog. Col. 271.txt, mio_233.txt],,,,,,,,,,,,,,,,,,,,,,,,,
24,B 3A 3G 3A 3B 3,[BB. Col. 17.txt, IB. C. 17.txt, CB. Col. 772.txt, CB. Col. 816.txt, GBr. Col. 145.txt, NU_194.txt, BB. C. 178.txt, Bog. Col. 34.txt, NU_205.txt, CB. Col. 811.txt, mio_210.txt, CBr. Col. p. 159.txt, sul 302.txt, maram_186.txt, Drg. Col. 301.txt, IP. Bal. 152.txt, NU_196.txt, CBr. Col. p. 270.txt, CB. Col. 464.txt, CB. Col. 765.txt, mio_382.txt, NU_133.txt, Drg. Col. 242.txt, CBr. Col. p. 279.txt],,,,,,,,,,,,,,,,,,,,,,,,,,
24,C 4B 3A 3G 3G 3,[Drg. Col. 144.txt, BB. Col. 207.txt, BB. Col. 21k.txt, GBr. Col. 156.txt, mrz 40.txt, CB. Col. 896.txt, EC. Col. 1.txt, BB. Col. 21f.txt, CBr. Col. 18.txt, EC. C.rit.fun. 45.txt, TBred. Cpropriu-zis. nr. 58.txt, CB. Col. 820.txt, TBred. Col. nr. 387.txt, GBr. Col. 48.txt, mio_12.txt, mio_47.txt, NU_200.txt, CBr. Col. p. 270.txt, BB. C. 257.txt, mio_22.txt, BB. Col. 12aa.txt, CB. Col. 371.txt, NU_202.txt, BB. Col. 21e.txt],,,,,,,,,,,,,,,,,,,,,,,,,,
23,A 3A 3B 3A 3G 3,[mio_30.txt, BB1. Col. 18.txt, mio_29.txt, mio_420.txt, sul 126.txt, mio_18.txt, mio_21.txt, mio_62.txt, BB. Col. 33a.txt, mrz 171.txt, Bog. Col. 71.txt, mio_42.txt, CB. Col. 587.txt, EC. Col. 4.txt, IP. Col.186.txt, BB. Col. 22.txt, mio_289.txt, mio_19.txt, CB. Col. 403.txt, mio_20.txt, mio_13.txt, Bog. Col. 180.txt, EC. C.rit.fun. 42.txt],,,,,,,,,,,,,,,,,,,,,,,,,,,
23,D 4C 4B 3C 4A 3A 3,[CB. Col. 341.txt, Bog. Col. 333.txt, CBr. Col. p. 234.txt, mio_16.txt, CB. Col. 338.txt, mio_9.txt, CB. Col. 355.txt, mio_417.txt, mio_14.txt, GBr. Col. 149.txt, mio_25.txt, mio_38.txt, mio_415.txt, Bog. Col. 176.txt, mio_402.txt, CB. Col. 351.txt, CB. Col. 339.txt, Bog. Col. 337.txt, mio_263.txt, CB. Col. 817.txt, mio_15.txt, mio_414.txt, mio_412.txt],,,,,,,,,,,,,,,,,,,,,,,,,,,
22,A 3B 3C 4B 3A 3G 3,[Drg. Col. 144.txt, Bog. Col. 681.txt, BB. Col. 21b.txt, CB. Col. 896.txt, CB. Col. 500.txt, CB. Col. 859.txt, CB. Col. 805.txt, Bog. Col. 659.txt, mio_307.txt, Drg. Col. 223.txt, BB. Col. 21l.txt, Bog. Col. 655.txt, CBr. Col. p. 156.txt, mrz 75.txt, CB. Col. 765.txt, CB. Col. 583.txt, Drg. Col. 242.txt, mio_280.txt, CBr. Col. p. 210.txt, BB. Col. 12aa.txt, BB. Col. 4.txt, CB. Col. 371.txt],,,,,,,,,,,,,,,,,,,,,,,,,,,,
